itemid,datasetid,hasbird
39637,ff1010bird,1
128370,ff1010bird,0
44063,ff1010bird,0
52298,ff1010bird,1
13779,ff1010bird,0
160013,ff1010bird,1
68032,ff1010bird,0
145486,ff1010bird,0
7126,ff1010bird,0
25823,ff1010bird,0
70150,ff1010bird,1
54951,ff1010bird,1
100390,ff1010bird,0
109140,ff1010bird,0
192151,ff1010bird,1
115871,ff1010bird,1
45994,ff1010bird,0
111003,ff1010bird,0
95036,ff1010bird,1
105232,ff1010bird,0
157467,ff1010bird,0
66371,ff1010bird,0
25901,ff1010bird,0
91758,ff1010bird,0
95691,ff1010bird,1
64186,ff1010bird,0
146743,ff1010bird,0
176090,ff1010bird,1
108768,ff1010bird,1
377,ff1010bird,1
160564,ff1010bird,0
103560,ff1010bird,0
45477,ff1010bird,0
23064,ff1010bird,0
132933,ff1010bird,0
15467,ff1010bird,1
155243,ff1010bird,1
154812,ff1010bird,0
192297,ff1010bird,0
17510,ff1010bird,1
64123,ff1010bird,0
126388,ff1010bird,1
95946,ff1010bird,0
113323,ff1010bird,0
83905,ff1010bird,1
45481,ff1010bird,1
109375,ff1010bird,0
113343,ff1010bird,0
55116,ff1010bird,1
25385,ff1010bird,1
17356,ff1010bird,1
148226,ff1010bird,1
112757,ff1010bird,1
73519,ff1010bird,1
73359,ff1010bird,0
50123,ff1010bird,1
104543,ff1010bird,0
33481,ff1010bird,1
167304,ff1010bird,0
38289,ff1010bird,0
70953,ff1010bird,1
102071,ff1010bird,0
49142,ff1010bird,1
146696,ff1010bird,1
34193,ff1010bird,0
164168,ff1010bird,0
126272,ff1010bird,1
38391,ff1010bird,0
79089,ff1010bird,0
111172,ff1010bird,0
159512,ff1010bird,0
192141,ff1010bird,0
95552,ff1010bird,1
108760,ff1010bird,1
152662,ff1010bird,1
146745,ff1010bird,0
47230,ff1010bird,0
36486,ff1010bird,0
47229,ff1010bird,0
67832,ff1010bird,0
79088,ff1010bird,0
117103,ff1010bird,1
36056,ff1010bird,0
122175,ff1010bird,1
156143,ff1010bird,0
71699,ff1010bird,0
157391,ff1010bird,0
90411,ff1010bird,0
86958,ff1010bird,0
76436,ff1010bird,1
43713,ff1010bird,0
82907,ff1010bird,0
60179,ff1010bird,0
61311,ff1010bird,0
161893,ff1010bird,0
189235,ff1010bird,0
155132,ff1010bird,0
140581,ff1010bird,0
113454,ff1010bird,1
89683,ff1010bird,0
182530,ff1010bird,0
128000,ff1010bird,0
126448,ff1010bird,0
157375,ff1010bird,0
160011,ff1010bird,1
87406,ff1010bird,1
109086,ff1010bird,0
127996,ff1010bird,0
147602,ff1010bird,0
149252,ff1010bird,0
177139,ff1010bird,0
34127,ff1010bird,0
35053,ff1010bird,1
104391,ff1010bird,0
125228,ff1010bird,0
130136,ff1010bird,0
78799,ff1010bird,0
40969,ff1010bird,0
54883,ff1010bird,0
126826,ff1010bird,0
155212,ff1010bird,0
167084,ff1010bird,0
39932,ff1010bird,0
89442,ff1010bird,0
74244,ff1010bird,1
95944,ff1010bird,1
60075,ff1010bird,0
63734,ff1010bird,0
160038,ff1010bird,0
56960,ff1010bird,0
32493,ff1010bird,0
156652,ff1010bird,1
58269,ff1010bird,0
138424,ff1010bird,0
69339,ff1010bird,0
120803,ff1010bird,0
38591,ff1010bird,0
153538,ff1010bird,0
75070,ff1010bird,0
107610,ff1010bird,0
146200,ff1010bird,0
68637,ff1010bird,0
